iter	Passed	Remaining
0	62	61946
1	111	55572
2	169	56218
3	234	58430
4	285	56720
5	343	56971
6	390	55390
7	451	56015
8	513	56534
9	558	55333
10	619	55734
11	679	55972
12	740	56231
13	796	56085
14	845	55528
15	906	55724
16	962	55636
17	1008	55019
18	1062	54840
19	1118	54782
20	1171	54615
21	1231	54741
22	1288	54747
23	1342	54607
24	1388	54148
25	1443	54086
26	1496	53913
27	1555	53991
28	1600	53588
29	1659	53653
30	1720	53787
31	1768	53488
32	1828	53587
33	1877	53348
34	1941	53540
35	2001	53593
36	2054	53461
37	2100	53172
38	2152	53048
39	2209	53027
40	2273	53184
41	2331	53191
42	2380	52984
43	2430	52802
44	2471	52450
45	2535	52593
46	2590	52532
47	2645	52467
48	2692	52251
49	2748	52229
50	2797	52063
51	2850	51967
52	2902	51854
53	2967	51979
54	3028	52042
55	3052	51461
56	3102	51334
57	3155	51256
58	3210	51201
59	3264	51144
60	3312	50995
61	3370	50986
62	3422	50905
63	3475	50825
64	3522	50675
65	3576	50613
66	3621	50431
67	3679	50430
68	3733	50378
69	3786	50306
70	3837	50207
71	3881	50031
72	3937	50006
73	3988	49913
74	4039	49826
75	4086	49680
76	4138	49603
77	4189	49519
78	4235	49379
79	4284	49274
80	4335	49191
81	4383	49071
82	4436	49010
83	4462	48665
84	4515	48609
85	4576	48639
86	4631	48604
87	4690	48608
88	4745	48578
89	4800	48533
90	4852	48468
91	4868	48050
92	4916	47950
93	4974	47946
94	5027	47893
95	5067	47716
96	5117	47644
97	5170	47591
98	5228	47580
99	5277	47495
100	5316	47319
101	5363	47217
102	5423	47231
103	5477	47191
104	5534	47178
105	5581	47076
106	5631	47000
107	5682	46930
108	5734	46878
109	5794	46883
110	5819	46608
111	5872	46560
112	5920	46471
113	5975	46439
114	6030	46406
115	6080	46337
116	6128	46252
117	6187	46250
118	6249	46267
119	6297	46184
120	6348	46121
121	6406	46108
122	6466	46107
123	6540	46202
124	6598	46188
125	6614	45880
126	6669	45842
127	6726	45821
128	6783	45802
129	6833	45729
130	6882	45653
131	6934	45597
132	6988	45557
133	7040	45501
134	7092	45441
135	7140	45360
136	7189	45286
137	7243	45246
138	7301	45229
139	7356	45192
140	7402	45096
141	7446	44994
142	7499	44945
143	7558	44933
144	7606	44854
145	7656	44786
146	7717	44782
147	7757	44658
148	7821	44671
149	7874	44623
150	7930	44588
151	7981	44530
152	8027	44439
153	8081	44398
154	8135	44353
155	8187	44294
156	8239	44241
157	8287	44166
158	8341	44122
159	8390	44050
160	8437	43971
161	8488	43908
162	8541	43861
163	8596	43823
164	8653	43791
165	8709	43759
166	8761	43701
167	8807	43618
168	8861	43574
169	8912	43514
170	8954	43408
171	9008	43366
172	9057	43296
173	9101	43205
174	9144	43110
175	9202	43086
176	9252	43020
177	9300	42949
178	9346	42866
179	9401	42830
180	9457	42793
181	9502	42707
182	9550	42637
183	9603	42588
184	9652	42524
185	9699	42447
186	9744	42363
187	9803	42343
188	9850	42266
189	9911	42252
190	9961	42191
191	10004	42104
192	10057	42052
193	10101	41969
194	10160	41942
195	10213	41896
196	10268	41856
197	10322	41813
198	10375	41762
199	10426	41706
200	10488	41691
201	10544	41657
202	10600	41617
203	10659	41591
204	10705	41518
205	10760	41473
206	10809	41411
207	10866	41374
208	10918	41323
209	10972	41277
210	11029	41244
211	11080	41186
212	11128	41118
213	11184	41078
214	11237	41028
215	11283	40954
216	11332	40891
217	11385	40839
218	11439	40795
